id,english_name,korean_name,chunil_name,code,category,usage_standard,purpose,usage_availability,documents
1,CHICKEN PROTEIN POWDER,닭고기단백분말,,A2000049070045,식품원료,원료이기에 사용기준 없음,,사용가능,
2,"1-OCTANESULFONIC ACIDS, SODIUM SALT",1-옥탄설폰산나트륨,,B3000056000000,식품첨가물,"사용기준 못찾음, 별도 확인 필요",,"기타, 별도 확인 필요",
3,"1-hydroxyethylidene-1,1-diphosphonic acid(HEDP)","1-하이드록시에틸리덴-1,1-디포스포닌산","1-hydroxyethylidene-1,1-diphosphonic acid(HEDP),1-diphosphonic acid",B3001161000000,식품첨가물,"사용기준 못찾음, 별도 확인 필요",,"기타, 별도 확인 필요",
4,2'-O-FUCOSYLLACOTSE,2'-O-푸코실락토오스,,B9000008000000,식품첨가물,"사용기준 못찾음, 별도 확인 필요",,사용불가,
5,2'-FUCOSYLLACTOSE,2'-푸코실락토오스(외화획득용),,BZ000094000000,식품첨가물,"사용기준 못찾음, 별도 확인 필요",,사용불가,
6,2-HEXEN-1-OL,2-Hexen-1-ol,,B1004625000000,식품첨가물,"사용기준 못찾음, 별도 확인 필요",,"기타, 별도 확인 필요",
7,3-Hydroxy-3-MethylButyric Acid(HMB) [개별인정형 신청을 위한 연구조사용에 한함],3-Hydroxy-3-MethylButyric Acid(HMB)(연구조사용),3-Hydroxy-3-MethylButyric Acid(HMB),BZ000015000000,식품첨가물,"사용기준 못찾음, 별도 확인 필요 [개별인정형 신청을 위한 연구조사용에 한함]",,사용불가,
8,DISODIUM 5'-RIBONUCLEOTIDE,5'-리보뉴클레오티드이나트륨,"Disodium 5'-Ribonucleotides, DISODIUM 5’-RIBONUCLEOTIDE",B1000050000000,식품첨가물,II. 2. 1)의 규정에 따라 사용하여야 한다.,영양강화제,"기타, 별도 확인 필요",
9,5'-Inosinic acid,5'-이노신산,,B1062572000000,식품첨가물,II. 2. 1)의 규정에 따라 사용하여야 한다.,향미증진제,사용가능,
10,5-HYDROXY-L-TRYPTOPHAN,5'-히드록시트립토판,,BZ000052000000,식품첨가물,"사용기준 못찾음, 별도 확인 필요",,사용불가,
11,DISODIUM 5'-GUANYLATE,5-구아닐산이나트륨,,B1000015000000,식품첨가물,II. 2. 1)의 규정에 따라 사용하여야 한다.,영양강화제,"기타, 별도 확인 필요",
12,5'-DEAMINASE,5-디아미나아제,,B2000209000000,식품첨가물,II. 2. 1)의 규정에 따라 사용하여야 한다.,효소제,"기타, 별도 확인 필요",
13,CALCIUM 5'-RIBONUCLEOTIDE,5-리보뉴클레오티드칼슘,,B1000051000000,식품첨가물,II. 2. 1)의 규정에 따라 사용하여야 한다.,영양강화제,"기타, 별도 확인 필요",
14,5′-CYTIDYLIC ACID,5-시티딜산,,B2000176000000,식품첨가물,"사용기준 찾음, 별도 확인 필요",영양강화제,"기타, 별도 확인 필요",
15,DISODIUM 5'-CYTIDYLATE,5-시티딜산이나트륨,,B1000383000000,식품첨가물,"사용기준 찾음, 별도 확인 필요",영양강화제,"기타, 별도 확인 필요",
16,5′-ADENYLIC ACID,5-아데닐산,,B2000175000000,식품첨가물,"사용기준 찾음, 별도 확인 필요",영양강화제,"기타, 별도 확인 필요",
17,DISODIUM 5'-URIDYLATE,5-우리딜산이나트륨,,B1000384000000,식품첨가물,"사용기준 찾음, 별도 확인 필요",영양강화제,"기타, 별도 확인 필요",
18,DISODIUM 5'-INOSINATE,5-이노신산이나트륨,,B1000182000000,식품첨가물,II. 2. 1)의 규정에 따라 사용하여야 한다.,영양강화제,"기타, 별도 확인 필요",
19,8-METHYL-6-NONENOIC ACID(외화획득용 등),8-METHYL-6-NONENOIC ACID(외화획득용 등),8-METHYL-6-NONENOIC ACID,BZ000107000000,식품첨가물,"사용기준 못찾음, 별도 확인 필요",,사용가능,
20,8-METHYLNONANOIC ACID(외화획득용 등),8-METHYLNONANOIC ACID(외화획득용 등),8-METHYLNONANOIC ACID,BZ000106000000,식품첨가물,"사용기준 못찾음, 별도 확인 필요",,사용불가,
21,ACHIRA STARCH,ACHIRA전분,,A1054149000038,식품원료,원료이기에 사용기준 없음,,사용가능,
22,ACHROMOPEPTIDASE,ACHROMOPEPTIDASE(외화획득용),,BZ000041000000,식품첨가물,"사용기준 못찾음, 별도 확인 필요",,사용불가,
23,ALGINATE OLIGOSACCHARIDE(전량수출용),ALGINATE OLIGOSACCHARIDE(외화획득용),ALGINATE OLIGOSACCHARIDE,BZ000034000000,식품첨가물,"사용기준 못찾음, 별도 확인 필요",,사용불가,
24,ALPHA LIPOIC ACID-외화획득용,ALPHA LIPOIC ACID(외화획득용),,BZ000010000000,식품첨가물,"사용기준 못찾음, 별도 확인 필요",,사용불가,
